"SMILES	Canonical_Smiles"
"CC(CC1C(=O)N(CC(NC(c2ccccc2)c3ccccc3)=O)C(=O)N1)C	CC(C)CC1NC(=O)N(CC(=O)NC(c2ccccc2)c3ccccc3)C1=O"
"O=C(NC1C(=O)NCCCC1)NC2CCN(c3ncccn3)CC2	O=C(NC1CCN(CC1)c2ncccn2)NC3CCCCNC3=O"
"CC(Oc1nccc(CN(c2c(c3ncn2)cnn3C)C4CC4)c1)C	CC(C)Oc1cc(CN(C2CC2)c3ncnc4c3cnn4C)ccn1"
"Cc1c(c2ccc1)nc(CCNC(c3ccc(F)cc3)C(N)=O)o2	Cc1cccc2oc(CCNC(C(=O)N)c3ccc(F)cc3)nc12"
"COc1cc(OC(F)F)c(C(NC2Cc(c3CC2)cn[nH]3)=O)cc1	COc1ccc(C(=O)NC2CCc3[nH]ncc3C2)c(OC(F)F)c1"
"CC1C(=O)Nc(c2O1)cc(NC(c3nc(n4c3)cccc4)=O)cc2	CC1Oc2ccc(NC(=O)c3cn4ccccc4n3)cc2NC1=O"
"O=C(N1c(c2CCC1)cccc2)CSc3n(c4nn3)c(c5[nH]4)cccc5	O=C(CSc1n[nH]c2nc3ccccc3n12)N4CCCc5ccccc45"
"Cc1nc(CCNc2c(c3ncn2)c(c4s3)CCCC4)on1	Cc1noc(CCNc2ncnc3sc4CCCCc4c23)n1"
"Cc1c(C2(C(NCCC(NCc3cnccc3)=O)=O)CC2)cccc1	Cc1ccccc1C2(CC2)C(=O)NCCC(=O)NCc3cccnc3"
"CC1(c2cc(c3cc2)OCO3)C(=O)N(Cc4ccc(Cl)cc4)C(=O)N1	CC1(NC(=O)N(Cc2ccc(Cl)cc2)C1=O)c3ccc4OCOc4c3"
"CC(c1scc(c2ccccc2)n1)Nc3c(c4ncn3)cnn4C	CC(Nc1ncnc2c1cnn2C)c3nc(cs3)c4ccccc4"
"CC(c1oc(c2ccc(C)cc2)nn1)N3CC(C(N)=O)CC3	CC(N1CCC(C1)C(=O)N)c2oc(nn2)c3ccc(C)cc3"
"COc1cc(NC(Cn2c(c3nc2NCC(O)C)cccc3)=O)ccc1	COc1cccc(NC(=O)Cn2c(NCC(C)O)nc3ccccc23)c1"
"Cc1cc(COc2ccc(CNC(c3cc(NC(N)=O)ccc3)=O)cc2)ccc1	Cc1cccc(COc2ccc(CNC(=O)c3cccc(NC(=O)N)c3)cc2)c1"
"Clc1c(CNC(CN(S(c2cnccc2)(=O)=O)C3CC3)=O)cccc1	Clc1ccccc1CNC(=O)CN(C2CC2)S(=O)(=O)c3cccnc3"
