"SMILES	Canonical_Smiles"
"COC(=O)C1=COC(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C2C(C)C(O)C(O)C12	COC(=O)C1=COC(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C3C(C)C(O)C(O)C13"
"CC(C)=CCc1cc(\C=C2/OC(=O)C(=C2O)c2cc(CC=C(C)C)c(O)cc2O)ccc1O	CC(=CCc1cc(C=C2OC(=O)C(=C2O)c3cc(CC=C(C)C)c(O)cc3O)ccc1O)C"
"CC1OC(=O)C23C(=C)C4(C)OC(=O)C12OC1(C4OC(C)=O)C(=C)C2(CC(O)C31C)C=CC(=O)OC2(C)C	CC1OC(=O)C23C(=C)C4(C)OC(=O)C12OC5(C4OC(=O)C)C(=C)C6(CC(O)C35C)C=CC(=O)OC6(C)C"
"CC(C)=CCC\C(C)=C\CC\C(C)=C\Cc1c(C)cc(O)cc1O	CC(=CCC\C(=C\CC\C(=C\Cc1c(C)cc(O)cc1O)\C)\C)C"
"OC(=O)[C@@H](Cc1ccc(O)c(O)c1)OC(=O)\C=C\c1ccc(O)c2OC(C(C(=O)O[C@H](Cc3ccc(O)c(O)c3)C(O)=O)c12)c1ccc(O)c(O)c1	OC(=O)[C@@H](Cc1ccc(O)c(O)c1)OC(=O)C=Cc2ccc(O)c3OC(C(C(=O)O[C@H](Cc4ccc(O)c(O)c4)C(=O)O)c23)c5ccc(O)c(O)c5"
"CC(=O)OC[C@H]1O[C@@H](Oc2c(oc3cc(O)cc(O)c3c2=O)-c2ccc(O)c(O)c2)[C@H](O)[C@@H](O)[C@@H]1O	CC(=O)OC[C@H]1O[C@@H](OC2=C(Oc3cc(O)cc(O)c3C2=O)c4ccc(O)c(O)c4)[C@H](O)[C@@H](O)[C@@H]1O"
"Cc1cc(O)cc(O)c1C(O)=O	Cc1cc(O)cc(O)c1C(=O)O"
"C[C@@H]1NC(=O)[C@H](Cc2c[nH]c3c(CC=C(C)C)cccc23)NC1=O	C[C@@H]1NC(=O)[C@H](Cc2c[nH]c3c(CC=C(C)C)cccc23)NC1=O"
"COc1cc(CCCO)cc2[C@@H](CO)[C@@H](Oc12)c1ccc(OC)c(OC)c1	COc1ccc(cc1OC)[C@@H]2Oc3c(OC)cc(CCCO)cc3[C@H]2CO"
"COC(=O)c1cccc2nc3c(cccc3nc12)C(C)O	COC(=O)c1cccc2nc3c(cccc3nc12)C(C)O"
"C\C=C\C=C\C=C\C(=O)O[C@@H]1C=C2COC[C@]2(O)[C@@]2(C)CCCC(C)(C)C12	C\C=C\C=C\C=C\C(=O)O[C@@H]1C=C2COC[C@]2(O)[C@@]3(C)CCCC(C)(C)C13"
"COc1cc2c(C(=O)OC22C(O)C(=O)C=C2C)c(O)c1	COc1cc(O)c2C(=O)OC3(C(O)C(=O)C=C3C)c2c1"
"COc1cc(O)c(C(O)=O)c(c1)-c1c(C)cc(oc1=O)C(O)=O	COc1cc(O)c(C(=O)O)c(c1)C2=C(C)C=C(OC2=O)C(=O)O"
"CC1OC(OC2C(C)OC(OCC3OC(OC4CCC5(C)C(CCC6(C)C5CC=C5C7CC(C)(C)CCC7(CCC65C)C(=O)OC5OC(CO)C(O)C(O)C5O)C4(C)CO)C(O)C3OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C(O)C(O)C1O	CC1OC(OC2C(C)OC(OCC3OC(OC4CCC5(C)C(CCC6(C)C5CC=C7C8CC(C)(C)CCC8(CCC67C)C(=O)OC9OC(CO)C(O)C(O)C9O)C4(C)CO)C(O)C3OC%10OC(CO)C(O)C(O)C%10O)C(O)C2O)C(O)C(O)C1O"
"Cc1cc(O)c2c(c1)oc(=O)c1cccc(O)c1c2=O	Cc1cc(O)c2C(=O)c3c(O)cccc3C(=O)Oc2c1"
"OC1C(Oc2cc(O)cc(O)c2C1=O)c1cc(O)c(O)c(O)c1	OC1C(Oc2cc(O)cc(O)c2C1=O)c3cc(O)c(O)c(O)c3"
"CC(=O)[C@]12C[C@@H](CC[C@@]1(C)CC[C@@H]2O)C(=C)C(O)=O	CC(=O)[C@]12C[C@@H](CC[C@@]1(C)CC[C@@H]2O)C(=C)C(=O)O"
"C[C@@H]1C[C@@H](OC(C)=O)C2C(C)(C)CCC[C@]2(C)[C@@]1(O)CCC1=CC(=O)OC1	C[C@@H]1C[C@@H](OC(=O)C)C2C(C)(C)CCC[C@]2(C)[C@@]1(O)CCC3=CC(=O)OC3"
"CC1C(OC(C)=O)C(OC(C)=O)C2=C(CCCC2(C)C)C1(C)CCC(C)(O)C=C	CC1C(OC(=O)C)C(OC(=O)C)C2=C(CCCC2(C)C)C1(C)CCC(C)(O)C=C"
"[H][C@@]12CCc3cc(C(C)C)c(OC)c(O)c3[C@]1(CCCC2(C)C)C(O)=O	COc1c(O)c2c(CC[C@H]3C(C)(C)CCC[C@]23C(=O)O)cc1C(C)C"
"[H][C@@]12CCc3cc(C(C)C)c(O)cc3[C@@]1(C)CCCC2(C)C	CC(C)c1cc2CC[C@H]3C(C)(C)CCC[C@]3(C)c2cc1O"
