"SMILES	Canonical_Smiles"
"CC1(O[C@H]([C@@H]2O1)[C@@H]([C@@]3(COS(N)(=O)=O)OC2)OC(C)(C)O3)C	CC1(C)O[C@@H]2CO[C@@]3(COS(=O)(=O)N)OC(C)(C)O[C@H]3[C@@H]2O1"
"Clc1c(Cl)c(N2CCN(CCCCOc3cc(c4cc3)NC(=O)CC4)CC2)ccc1	Clc1cccc(N2CCN(CCCCOc3ccc4CCC(=O)Nc4c3)CC2)c1Cl"
"C[C@@]1([C@@](C#C)(O)CC2)[C@@H]2[C@H]3[C@@H](c(c4CC3)ccc(O)c4)CC1	C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@]2(O)C#C"
"CCCCCCCN(CCCC(c1ccc(NS(C)(=O)=O)cc1)O)CC.CCCCCCCN(CCCC(c2ccc(NS(C)(=O)=O)cc2)O)CC.OC(\C=C\C(O)=O)=O	CCCCCCCN(CC)CCCC(O)c1ccc(NS(=O)(=O)C)cc1"
"CC(c1c(O)cc(NC(C(C(=O)c(c2N3)cccc2)=C3)=O)c(C(C)(C)C)c1)(C)C	CC(C)(C)c1cc(c(NC(=O)c2cnc3ccccc3c2O)cc1O)C(C)(C)C"
"Cl.Cl.OCCOCCN1CCN(C(c2ccc(Cl)cc2)c3ccccc3)CC1	OCCOCCN1CCN(CC1)C(c2ccccc2)c3ccc(Cl)cc3"
"[Na+].[Na+].NC(NC(=O)c(c12)c(CCc3ccc(C(N[C@@H](C([O-])=O)CCC([O-])=O)=O)cc3)c[nH]1)=N2	Nc1nc(O)c2c(CCc3ccc(cc3)C(=O)N[C@H](CCC(=O)O)C(=O)O)c[nH]c2n1"
"[Cl-].CN(c1cc(c2cc1)[s+]c(c3n2)cc(N(C)C)cc3)C	CN(C)c1ccc2nc3ccc(cc3[s+]c2c1)N(C)C"
"C[C@@]1([C@@H](O)CC2)[C@@H]2[C@H]3[C@@H](c(c4CC3)ccc(O)c4)CC1	C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O"
"C[C@H](N1CC(=O)NC(=O)C1)CN2CC(=O)NC(=O)C2	C[C@@H](CN1CC(=O)NC(=O)C1)N2CC(=O)NC(=O)C2"
"CN(c1ccc([C@@H]2C([C@@H]3[C@H]4[C@]([C@](C(C)=O)(OC(C)=O)CC4)(C)C2)=C(C(=C5)CC3)CCC5=O)cc1)C	CN(C)c1ccc(cc1)[C@H]2C[C@@]3(C)[C@@H](CC[C@]3(OC(=O)C)C(=O)C)[C@@H]4CCC5=CC(=O)CCC5=C24"
"Cl.CCCCOc1ccc(OCCCN2CCOCC2)cc1	CCCCOc1ccc(OCCCN2CCOCC2)cc1"
"NC(c1c(O)cccc1)=O	NC(=O)c1ccccc1O"
